INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1111111010
INFO:root:Generation 2, Best fitness: 8, Individual: 1111111010
INFO:root:Generation 3, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 0101111110
INFO:root:Generation 2, Best fitness: 7, Individual: 0101111110
INFO:root:Generation 3, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 4, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 5, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 6, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 1000111111
INFO:root:Generation 2, Best fitness: 7, Individual: 1000111111
INFO:root:Generation 3, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 4, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 5, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 6, Individual: 1001110110
INFO:root:Generation 2, Best fitness: 8, Individual: 1100111111
INFO:root:Generation 3, Best fitness: 8, Individual: 1100111111
INFO:root:Generation 4, Best fitness: 8, Individual: 1100111111
INFO:root:Generation 5, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 6, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 2, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 3, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 1101111010
INFO:root:Generation 2, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 3, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 2, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 3, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 4, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 5, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 6, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 7, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 8, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 9, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 10, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 11, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 12, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 13, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 14, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 15, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 0111101111
INFO:root:Generation 2, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 3, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 4, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 5, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1011111101
INFO:root:Generation 2, Best fitness: 8, Individual: 1011111101
INFO:root:Generation 3, Best fitness: 9, Individual: 0111111111
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1110111011
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 6, Individual: 1011101100
INFO:root:Generation 2, Best fitness: 6, Individual: 1011101100
INFO:root:Generation 3, Best fitness: 7, Individual: 1011110110
INFO:root:Generation 4, Best fitness: 9, Individual: 0111111111
INFO:root:Generation 5, Best fitness: 9, Individual: 0111111111
INFO:root:Generation 6, Best fitness: 9, Individual: 0111111111
INFO:root:Generation 7, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 8, Individual: 1111101110
